url,total_clicks,unique_clicks,digest_num,publisher
https://www.washingtonpost.com/world/2019/06/12/china-cant-smash-hong-kongs-spirit/,0,0,6,ashingtonpost.com
https://cointelegraph.com/news/what-is-libra-breaking-down-facebooks-new-digital-currency,86,72,7,cointelegraph.com
https://www.nytimes.com/2019/06/19/opinion/facebook-currency-libra.html,54,44,7,nytimes.com
https://seekingalpha.com/article/4271247-facebooks-libra-vs-bitcoin-5-key-differences,32,25,7,seekingalpha.com
https://www.bloomberg.com/news/articles/2019-01-27/love-crypto-but-not-its-volatility-meet-stablecoins-quicktake,28,25,7,bloomberg.com
https://qz.com/1642172/jack-dorsey-on-bitcoin-facebooks-crypto-and-the-end-of-cash/,17,13,7,qz.com
https://www.nytimes.com/2019/06/20/opinion/facebook-libra-cryptocurrency.html,15,13,7,nytimes.com
https://qz.com/africa/1646901/what-facebook-libra-currency-means-for-africa/,12,10,7,qz.com
https://www.wired.com/story/ambitious-plan-behind-facebooks-cryptocurrency-libra/,11,8,7,ired.com
https://www.ft.com/content/500bd3ce-936f-11e9-b7ea-60e35ef678d2,10,9,7,ft.com
https://www.theverge.com/2019/6/18/18682838/facebook-digital-wallet-calibra-libra-cryptocurrency-kevin-weil-david-marcus-interview,10,8,7,theverge.com
http://nymag.com/intelligencer/2019/06/what-is-libra-facebooks-new-cryptocurrency.html,10,6,7,nymag.com
http://www.theguardian.com/technology/2019/jun/20/facebook-libra-cryptocurrency-astrology-prediction,9,9,7,theguardian.com
https://www.coindesk.com/examining-facebooks-claim-its-crypto-is-for-the-unbanked,9,8,7,coindesk.com
https://www.economist.com/leaders/2019/06/22/facebook-wants-to-create-a-global-currency,8,5,7,economist.com
https://www.washingtonpost.com/opinions/2019/06/20/facebook-must-like-trouble-because-its-new-cryptocurrency-just-means-more-it/,7,6,7,ashingtonpost.com
https://www.cjr.org/the_media_today/facebook-cryptocurrency.php,7,5,7,cjr.org
https://www.forbes.com/sites/enriquedans/2019/06/20/libra-an-interesting-idea-if-only-facebook-werent-involved/,6,5,7,forbes.com
https://www.forbes.com/sites/kenrapoza/2019/06/20/facebooks-libra-coin-is-both-vampire-project-and-regulatory-nightmare/,6,5,7,forbes.com
https://www.ft.com/content/374a1af0-9101-11e9-aea1-2b1d33ac3271,5,5,7,ft.com
https://www.businessinsider.com/facebook-cryptocurrency-brings-it-closer-to-becoming-virtual-nation-2019-6,5,4,7,businessinsider.com
https://seekingalpha.com/article/4271325-facebook-folly-facebook-launching-libra-2020,4,3,7,seekingalpha.com
https://www.afr.com/business/banking-and-finance/facebook-takes-crypto-mainstream-20190620-p51znq,4,3,7,afr.com
https://www.forbes.com/sites/rhockett/2019/06/20/facebooks-proposed-crypto-currency-more-pisces-than-libra-for-now/,3,2,7,forbes.com
https://www.wired.com/story/lawmakers-express-privacy-concerns-facebooks-libra/,1,1,7,ired.com
https://www.cnet.com/news/facebook-unveils-its-libra-cryptocurrency-as-politicians-raise-eyebrows/,0,0,7,cnet.com
https://www.businessinsider.com/kamala-harris-joe-biden-why-thats-so-bad-for-him-2019-6,49,46,8,businessinsider.com
https://theintercept.com/2019/06/27/elizabeth-warren-profile/,49,38,8,theintercept.com
http://nymag.com/intelligencer/2019/06/democratic-primary-debate-winners-losers-ranked-warren-orourke-castro.html,35,30,8,nymag.com
https://www.vox.com/2019/6/26/18760593/who-won-the-democratic-debate,17,15,8,vox.com
https://www.vox.com/policy-and-politics/2019/6/28/18906744/democratic-debate-2019-miami-who-won,15,15,8,vox.com
http://nymag.com/intelligencer/2019/06/democratic-debate-beto-booker-warren.html,13,11,8,nymag.com
https://www.theatlantic.com/ideas/archive/2019/06/joe-biden-vs-kamala-harris-bussing-and-race-issues/592912/,12,11,8,theatlantic.com
https://www.nytimes.com/2019/06/27/us/politics/kamala-harris-biden-debate.html,11,11,8,nytimes.com
https://www.hollywoodreporter.com/news/critics-notebook-democratic-death-march-begins-1221350,10,10,8,hollywoodreporter.com
https://www.vox.com/2019/6/26/18760656/democratic-debate-elizabeth-warren-won,9,8,8,vox.com
https://www.nytimes.com/2019/06/27/us/politics/who-won-debate.html,8,6,8,nytimes.com
https://www.haaretz.com/world-news/wires/1.7418971,6,6,8,haaretz.com
https://www.washingtonpost.com/lifestyle/style/marianne-williamson-wont-make-you-feel-better-about-america-but-youll-feel-better-about-yourself/2019/06/26/26174e10-9372-11e9-aadb-74e6b2b46f6a_story.html,6,6,8,ashingtonpost.com
https://www.newyorker.com/news/our-columnists/at-the-democratic-debate-elizabeth-warrens-reformism-versus-trumps-moral-crisis,4,4,8,newyorker.com
https://www.thedailybeast.com/inside-the-alternate-universe-of-2020s-first-spin-room,4,4,8,thedailybeast.com
https://www.nytimes.com/2019/06/27/us/politics/debate-democrats-recap.html,3,3,8,nytimes.com
https://www.washingtonpost.com/politics/paloma/the-trailer/2019/06/27/the-trailer-assessing-10-candidates-on-last-night-s-stage-and-one-who-wasn-t/5d14139ea7a0a47d87c56eeb/,3,3,8,ashingtonpost.com
https://www.hollywoodreporter.com/news/critics-notebook-kamala-harris-prosecutes-joe-biden-democratic-debate-1221655,2,2,8,hollywoodreporter.com
https://www.realclearpolitics.com/articles/2019/06/27/warren_and_progressivism_own_the_debates_first_night_140660.html,2,2,8,realclearpolitics.com
https://www.thedailybeast.com/mitch-mcconnell-looms-over-first-democratic-debate,2,2,8,thedailybeast.com
https://www.washingtonpost.com/politics/it-was-not-a-good-night-reviews-of-orourkes-debate-performance-show-perils-of-his-candidacy/2019/06/27/b5799414-98f9-11e9-830a-21b9b36b64ad_story.html,2,2,8,ashingtonpost.com
https://www.salon.com/2019/06/27/first-democratic-debate-elizabeth-warren-persists-but-julian-castro-is-the-star/,1,1,8,salon.com
https://www.theatlantic.com/ideas/archive/2019/06/first-democratic-debate-ignored-donald-trump/592699/,1,1,8,theatlantic.com
https://www.theglobeandmail.com/world/article-few-fireworks-little-focus-on-trump-in-first-debate-as-democrats-show/,1,1,8,theglobeandmail.com
https://www.washingtonpost.com/politics/lesser-known-candidates-claw-for-the-spotlight-in-democratic-debate/2019/06/27/b469b6ae-9844-11e9-8d0a-5edd7e2025b1_story.html,0,0,8,ashingtonpost.com
https://www.economist.com/united-states/2019/07/09/donald-trump-risks-undoing-decades-of-nuclear-arms-control,53,44,10,economist.com
