,URL,Total_clicks,Unique_clicks,Digest_num,Ranking
81,https://www.asiatimes.com/2019/11/article/china-leaps-into-the-aerospace-race/,7,6,29,13
82,https://www.cnn.com/2019/11/15/health/astronaut-blood-flow-clot-scn-trnd/index.html,6,6,29,7
83,https://www.businessinsider.fr/us/spacex-starlink-satellites-risks-astronomy-space-junk-2019-11,6,6,29,4
84,https://spaceflightnow.com/2019/11/20/spacexs-first-starship-prototype-ruptures-during-cryogenic-test/,5,4,29,22
85,https://arstechnica.com/science/2019/11/how-to-spot-the-spacex-starlink-satellite-train-overhead-this-week/,4,4,29,15
86,https://spacenews.com/op-ed-growth-is-great-but-innovation-is-the-real-investment/,4,4,29,12
87,https://www.dw.com/en/why-isnt-germany-taking-over-the-moon/a-50908906,4,4,29,23
88,https://www.geekwire.com/2019/nasa-watchdog-report-sharpens-spacex-vs-boeing-spaceship-cost-debate/,3,3,29,16
89,https://www.nature.com/articles/d41586-019-03532-1,3,3,29,25
90,https://spacenews.com/leosat-absent-investors-shuts-down/,3,2,29,6
91,https://www.cbsnews.com/news/nasa-inspector-general-warns-of-possible-delays-in-launching-new-us-spacecraft/,2,2,29,19
92,https://spacenews.com/air-force-to-revise-selection-criteria-for-launch-procurement-in-wake-of-blue-origins-successful-protest/,2,2,29,20
93,https://thewire.in/space/starlink-spacex-elon-musk-satellite-trails-survey-telescope-orbital-slots,2,2,29,11
94,https://www.space.com/dream-chaser-shooting-star-cargo-module.html,2,2,29,24
95,https://economictimes.indiatimes.com/small-biz/startups/features/these-22-year-old-space-tech-enthusiasts-have-their-eyes-on-the-moon/articleshow/72179183.cms,1,1,29,21
96,https://spacenews.com/inspector-general-report-says-nasa-risks-losing-access-to-the-iss-in-2020/,1,1,29,17
97,https://www.forbes.com/sites/jonathanocallaghan/2019/11/18/this-is-not-coolastronomers-despair-as-spacex-starlink-train-ruins-observation-of-nearby-galaxies/,1,1,29,10
98,https://www.salon.com/2019/11/12/why-spacexs-plans-to-put-25000-satellites-in-orbit-could-ruin-astronomy/,1,1,29,9
99,https://www.technologyreview.com/s/614706/why-the-hubble-is-unlike-any-other-satellite-in-history/,1,1,29,18
100,https://www.wired.com/story/massive-ai-powered-robots-are-3d-printing-entire-rockets/,40,33,24,2
101,https://www.spiegel.de/international/germany/far-right-terrorism-in-germany-shooting-exposes-lapses-in-security-apparatus-a-1291075.html,29,24,24,1
102,https://hackaday.com/2019/10/13/prusa-unveils-new-mini-printer-shakes-up-the-competition/,28,28,24,4
103,https://3dprintingindustry.com/news/3d-printing-used-to-test-leonardo-da-vincis-rejected-bridge-design-163447/,20,19,24,11
104,https://www.armytimes.com/news/your-army/2019/10/04/army-announces-new-push-to-get-3d-printing-advanced-manufacturing-to-troops-in-the-field/,14,10,24,3
105,https://www.nytimes.com/2019/10/11/technology/dental-schools-technology.html,13,12,24,5
106,https://www.ft.com/content/abfcd422-ef3a-11e9-bfa4-b25f11f42901,12,10,24,19
107,https://news.cornell.edu/stories/2019/10/sabin-installation-microsoft-research-turns-ai-art,11,9,24,8
108,https://www.telegraph.co.uk/news/2019/10/10/german-shooter-published-anti-semitic-manifesto-pledging-attack/,10,10,24,13
109,https://www.irishtimes.com/business/retail-and-services/we-were-probably-forced-to-make-changes-sooner-because-of-brexit-1.4053836,9,8,24,17
110,https://www.forbes.com/sites/afdhelaziz/2019/10/17/the-power-of-purpose-how-new-story-is-3d-printing-houses-to-end-global-homelessness/,9,9,24,21
111,https://www.independent.co.uk/news/world/europe/3d-gun-print-germany-synagogue-shooting-stephan-balliet-neo-nazi-a9152746.html,9,9,24,15
112,https://www.nytimes.com/2019/10/10/t-magazine/jacolby-satterwhite.html,6,4,24,24
113,https://3dprint.com/256014/3d-printed-occlusal-splint-provides-relief-few-weeks/,6,6,24,22
114,https://venturebeat.com/2019/10/11/trust-ventures-raises-70-million-for-startups-targeting-public-policy-and-social-problems/,4,4,24,25
115,https://www.udel.edu/udaily/2019/october/3D-printed-coral-study-damselfish-Danielle-Dixson/,3,3,24,16
116,https://www2.lehigh.edu/news/new-biofabrication-method-creates-one-scaffold-to-guide-regeneration-of-multiple-tissues,3,3,24,6
117,https://www.anl.gov/article/six-degrees-of-nuclear-separation,3,3,24,14
118,https://thehill.com/opinion/technology/465370-automation-wont-destroy-trade-it-might-even-boost-it,3,3,24,7
119,https://www.japantimes.co.jp/news/2019/10/16/world/science-health-world/artificial-meat-bound-supermarkets-planets/,2,2,24,18
120,https://3dprint.com/255771/childrens-hospital-in-argentina-finally-gets-3d-printed-presurgical-models/,2,2,24,9
121,https://techxplore.com/news/2019-10-walls-architecture-ai-microsoft.html,1,1,24,10
122,https://3dprintingindustry.com/news/nasa-becomes-first-customer-of-hrl-high-strength-aluminum-3d-printing-powder-163530/,1,1,24,20
123,https://3dprintingindustry.com/news/equispheres-attains-third-party-aerospace-validation-for-its-3d-printing-powders-163300/,1,1,24,23
124,https://3dprintingindustry.com/news/mtc-opens-innovation-hub-to-put-uk-on-the-map-for-metal-additive-manufacturing-163488/,0,0,24,12
125,https://www.wsj.com/articles/a-princes-500-billion-desert-dream-flying-cars-robot-dinosaurs-and-a-giant-artificial-moon-11564097568,52,42,13,1
126,https://www.nytimes.com/2019/07/16/opinion/smart-cities.html,37,29,13,7
127,https://www.brookings.edu/research/artificial-intelligence-in-americas-digital-city/,32,27,13,2
128,https://www.bangkokpost.com/life/social-and-lifestyle/1716647/are-e-scooters-the-future-for-commuters-,24,20,13,3
129,https://www.ft.com/content/f4779de6-b1e0-11e9-bec9-fdcab53d6959,19,19,13,4
130,https://www.axios.com/amazon-echo-alexa-ring-smart-home-surveillance-15323060-972f-46e5-8aa0-b3506249a7b0.html,14,13,13,24
131,https://www.computerweekly.com/feature/A-tale-of-two-smart-cities-Manchester-and-Australias-Casey,14,14,13,8
132,https://gcn.com/articles/2019/07/22/realistic-smart-cities.aspx,13,13,13,10
133,http://theconversation.com/i-visualised-how-algorithms-see-urban-environments-and-build-detailed-profiles-of-citizens-119789,13,11,13,13
134,https://www.thehindu.com/news/cities/Visakhapatnam/why-smart-pavements-fail-to-woo-citizens/article28664634.ece,12,11,13,15
135,http://theconversation.com/sidewalk-torontos-master-plan-raises-urgent-concerns-about-data-and-privacy-121025,9,6,13,9
136,https://www.bloomberg.com/news/articles/2019-07-25/singapore-is-spending-big-to-future-proof-its-slowing-economy,9,8,13,12
137,https://www.washingtonpost.com/transportation/2019/07/20/city-planners-eye-self-driving-vehicles-correct-mistakes-th-century-auto/,9,8,13,6
138,https://www.computerweekly.com/news/252467255/Smart-technology-will-transform-Dutch-neighbourhood,8,7,13,22
139,https://techxplore.com/news/2019-07-homes-future-hyper-connected-pods-habitat.html,7,7,13,5
140,https://gcn.com/articles/2019/08/01/iot-edge-networks.aspx,6,6,13,21
141,https://theodi.org/article/smart-cities-are-decades-away-but-open-cities-are-in-reach/,5,5,13,17
142,https://www.forbes.com/sites/seletareynolds/2019/07/18/why-the-open-mobility-foundation/,5,4,13,14
143,https://www.forbes.com/sites/natalieparletta/2019/07/15/how-a-whole-city-plans-to-close-the-loop-on-waste/,3,3,13,23
144,https://techcrunch.com/2019/07/21/cities-must-plan-ahead-for-innovation-without-leaving-people-behind/,3,3,13,18
145,https://gcn.com/articles/2019/07/16/mayors-tech-resolutions.aspx,3,3,13,25
146,https://www.sundayguardianlive.com/lifestyle/smart-mobility-viable-future-cities,2,2,13,16
147,https://www.bangkokpost.com/business/1722547/smart-solutions-serve-as-a-cornerstone-for-the-future-of-transport,1,1,13,20
148,http://theconversation.com/time-to-reset-waterfront-torontos-smart-city-public-consultations-120636,1,1,13,11
149,https://www.bangkokpost.com/business/1721771/smart-city-scheme-tempts-20-candidates,0,0,13,19
150,https://cointelegraph.com/news/what-is-libra-breaking-down-facebooks-new-digital-currency,86,72,7,1
151,https://www.nytimes.com/2019/06/19/opinion/facebook-currency-libra.html,54,44,7,2
152,https://seekingalpha.com/article/4271247-facebooks-libra-vs-bitcoin-5-key-differences,32,25,7,7
153,https://www.bloomberg.com/news/articles/2019-01-27/love-crypto-but-not-its-volatility-meet-stablecoins-quicktake,28,25,7,3
154,https://qz.com/1642172/jack-dorsey-on-bitcoin-facebooks-crypto-and-the-end-of-cash/,17,13,7,4
155,https://www.nytimes.com/2019/06/20/opinion/facebook-libra-cryptocurrency.html,15,13,7,18
156,https://qz.com/africa/1646901/what-facebook-libra-currency-means-for-africa/,12,10,7,11
157,https://www.wired.com/story/ambitious-plan-behind-facebooks-cryptocurrency-libra/,11,8,7,8
158,http://nymag.com/intelligencer/2019/06/what-is-libra-facebooks-new-cryptocurrency.html,10,6,7,5
159,https://www.ft.com/content/500bd3ce-936f-11e9-b7ea-60e35ef678d2,10,9,7,16
160,https://www.theverge.com/2019/6/18/18682838/facebook-digital-wallet-calibra-libra-cryptocurrency-kevin-weil-david-marcus-interview,10,8,7,6
